Geração,Tipo,ID,Nome,Grupo,Aniversário,Vocal,Dance,Rap,Center,Visual,Especialidade,Conceitos predominantes,Gêneros predominantes,Pontos Fortes,Pontos Fracos
5,idol,artmsheejin,HeeJin,ARTMS,19-10-2000,A,S,C,S,A,All-Rounder,Girlcrush / Pop,,"""All-rounder completa, força cênica, carisma e precisão coreográfica""","""Pode sobrecarregar-se em lineups longas por intensidade constante"""
5,idol,artmsjinsoul,Jinsoul,ARTMS,13-06-1997,B,B,B,B,A,Visual,Urban Pop / EDM,,"""Rapper melódica com ótimo controle vocal, timbre distinto""","""Execução menos fluida em coreografias muito técnicas"""
5,idol,artmskimlip,Kim Lip,ARTMS,10-02-1999,A,S,D,A,B,Dance,R&B / Elegant Pop,,"""Timbre expressivo, técnica vocal refinada, harmonia e emoção""","""Projeção vocal variável ao vivo em performances muito coreografadas"""
5,idol,atheartarin,Arin,AtHeart,01-07-2007,B,A,D,B,B,Dance,Urban Pop / Rap-forward,,"""Flow e entrega rap consistente, presença carismática, boa versatilidade rítmica""","""Técnica vocal menos expressiva em notas longas, timbre médio"""
5,idol,atheartaurora,Aurora,AtHeart,04-07-2009,B,C,D,C,C,Vocal,Ethereal Pop / Visual,,"""Visual diferenciado e expressividade gestual, encaixa bem em passes atmosféricos""","""Projeção vocal e rap moderados, menos consistente em partes técnicas"""
5,idol,atheartbome,Bome,AtHeart,26-11-2007,A,B,D,B,B,Vocal,R&B-tinged Pop,,"""Boa estabilidade vocal e controle em runs, interpretação musical sensível""","""Coreografias mais pesadas afetam ligeiramente a projeção"""
5,idol,atheartkatelyn,Katelyn,AtHeart,24-07-2007,B,B,C,B,C,Rap,Pop / Visual Focus,,"""Forte projeção vocal ao vivo, timbre marcante, rosto/visual com apelo alto (possível titular visual)""","""Menos foco em rap, movimentos muito técnicos podem reduzir consistência vocal"""
5,idol,atheartmichi,Michi,AtHeart,06-05-2007,B,B,D,B,C,Dance,Girlcrush / Powerful Pop,,"""Execução de performance muito polida, controle corporal e presença de palco (destaque nas stages)""","""Em trechos vocais complexos pode perder estabilidade pela intensidade da dança"""
5,idol,atheartnahyun,Nahyun,AtHeart,03-09-2009,B,B,D,A,A,Visual,Supporting Vocals / Dance,,"""Boa química em formações de grupo, consistente em linhas de apoio e adlibs""","""Não se destaca tecnicamente em vocal principal ou rap, presença visual média"""
5,idol,atheartseohyeon,Seohyeon,AtHeart,12-09-2008,A,B,D,B,B,Vocal,Bright Pop / Performance,,"""Excelente sincronização de grupo, bom suporte em harmonias e estabilidade em lives""","""Ainda em crescimento para solo vocal de destaque, presença solo moderada"""
5,idol,babydontcrybeni,Beni,Baby DONT Cry,23-12-2008,B,B,D,B,A,Vocal,Visual Pop / Ballad,,"""Visual impactante e carismática, boa interpretação facial, presença em frames""","""Técnica vocal limitada em trechos dinâmicos, rap pouco desenvolvido"""
5,idol,babydontcrykumi,Kumi,Baby DONT Cry,30-08-2007,C,B,B,B,B,Rap,Powerful Pop / Dance Focus,,"""Coreógrafa precisa, musicalidade e fluidez, ótima sincronização""","""Vocais mais suaves podem perder projeção, rap neutro"""
5,idol,babydontcrymia,Mia,Baby DONT Cry,03-09-2007,C,C,D,B,A,Vocal,Hip-Hop / Rap-forward,,"""Flow limpo, dicção e entrega rítmica excelentes, boa presença cênica""","""Falta potência vocal em trechos altos, expressividade facial ainda limitada"""
5,idol,babydontcryyihyun,Yihyun,Baby DONT Cry,11-04-2006,A,B,D,A,A,Vocal,Dark Pop / Girlcrush,,"""Controle vocal excepcional, presença de palco dominante, carisma central""","""Algumas notas agudas exigem apoio corporal, respiração visível em trechos rápidos"""
5,idol,babymonsterahyeon,Ahyeon,BABYMONSTER,11-04-2007,S,B,S,A,A,All-Rounder,Main Vocal / Multi-talent,,"""Visual forte, vocal bom, versatilidade""","""Dança e rap menos consistentes"""
5,idol,babymonsterasa,Asa,BABYMONSTER,17-04-2006,B,B,S,B,S,Rap,Rap / Performance Hip-hop,,"""Flow limpo, rap de destaque, boa entrega""","""Vocal principal menos refinado"""
5,idol,babymonsterchiquita,Chiquita,BABYMONSTER,17-02-2009,B,B,A,B,C,Rap,Supporting Vocals / Performance,,"""Boa expressividade e carisma""","""Técnica vocal/rap iniciante, presença menor"""
5,idol,babymonsterpharita,Pharita,BABYMONSTER,26-08-2005,A,C,D,C,B,Vocal,Lead Vocal / International Pop,,"""Vocal principal muito forte, domínio de inglês/tailandês""","""Rap e coreografia menos marcantes"""
5,idol,babymonsterrami,Rami,BABYMONSTER,17-10-2007,S,B,B,B,A,Vocal,Vocal / Pop,,"""Vocal estável, cresce no palco""","""Rap e dança com menor destaque"""
5,idol,babymonsterrora,Rora,BABYMONSTER,14-08-2008,A,B,D,B,A,Visual,Lead Vocal / Youth Pop,,"""Boa presença corporal, dança sólida""","""Vocal principal falta refinamento"""
5,idol,babymonsterruka,Ruka,BABYMONSTER,20-03-2002,B,B,S,B,B,Rap,Hip-hop / Rap-Dance Focus,,"""Execução de dança de elite, presença forte no palco""","""Técnica vocal média em alta intensidade"""
4,idol,billlieharam,Haram,Billlie,13-01-2001,A,C,D,C,B,Vocal,Vocal Main / Emotional Pop,,"""Dominância vocal em partes melódicas""","""Rap e dança com menos destaque"""
4,idol,billlieharuna,Haruna,Billlie,30-01-2006,C,B,C,C,A,Visual,Visual / Supporting Vocals,,"""Visual forte, presença visual marcante""","""Técnica vocal e rap ainda em crescimento"""
4,idol,billliemoonsua,Moon Sua,Billlie,09-09-1999,B,A,A,B,B,Rap,Girlcrush / Rap-Vocal Hybrid,,"""Técnica vocal de alto nível, presença de palco forte""","""Dança mais técnica poderia ganhar mais refinamento"""
4,idol,billliesheon,Sheon,Billlie,28-01-2003,B,A,B,B,A,Dance,Rap / All-rounder,,"""Rap sólido, entrega lírica forte""","""Técnica vocal em altos registros menos robusta"""
4,idol,billliesiyoon,Siyoon,Billlie,16-02-2005,C,B,B,B,B,,Performance / Rap & Dance,,"""Flow rítmico e presença de palco""","""Vocais e visual menos dominantes"""
4,idol,billliesuhyeon,Suhyeon,Billlie,15-01-2000,A,B,C,B,A,Vocal,Pop / Bright Performance,,"""Coreografia bem executada, bons vocais de suporte""","""Falta consistência em rap mais pesado"""
4,idol,billlietsuki,Tsuki,Billlie,21-09-2002,B,S,D,A,A,Dance,Dance Focus / International,,"""Elevado nível de dança, fluidez no palco""","""Vocais principais mais fracos"""
4,idol,bvnditjungwoo,Jungwoo,BVNDIT,02-04-1999,A,B,D,B,C,Vocal,Girl Crush / Modern R&B Pop,,"""Excelente dançarina, movimentos controlados e expressivos""","""Voz pouco marcante, timbre plano"""
4,idol,bvnditseungeun,Seungeun,BVNDIT,27-12-2000,B,B,D,B,B,,Girl Crush / Modern R&B Pop,,"""Melhor dançarina do grupo, grande controle rítmico e carisma""","""Falta consistência vocal em partes principais"""
4,idol,bvnditsimyeong,Simyeong,BVNDIT,27-05-1999,B,B,D,C,C,,Girl Crush / Modern R&B Pop,,"""Destaque visual e expressividade, boa leitura de câmera""","""Falta estabilidade vocal em notas longas"""
4,idol,bvnditsonghee,Songhee,BVNDIT,08-11-1998,B,B,D,B,A,,Girl Crush / Modern R&B Pop,,"""Vocal doce e limpo, boa dicção e apoio melódico""","""Falta projeção vocal em refrões, timidez performática"""
4,idol,bvndityiyeon,Yiyeon,BVNDIT,28-05-1995,B,B,D,C,C,,Girl Crush / Modern R&B Pop,,"""Vocal sólido, estável ao vivo, boa líder de palco, presença marcante""","""Falta impacto em coreografias de alta intensidade"""
4,idol,cherrybulletbora,Bora,Cherry Bullet,03-03-1999,S,B,D,B,C,Vocal,Cute Pop / Retro Tech Pop,,"""Boa estabilidade vocal, presença equilibrada""","""Expressividade irregular, falta impacto individual"""
4,idol,cherrybulletchaerin,Chaerin,Cherry Bullet,13-03-2002,C,A,C,C,B,Dance,Cute Pop / Retro Tech Pop,,"""Equilibrada tecnicamente, expressiva em estilos variados""","""Falta impacto visual"""
4,idol,cherrybullethaeyoon,Haeyoon,Cherry Bullet,10-01-1996,S,C,D,B,C,Vocal,Cute Pop / Retro Tech Pop,,"""Melhor vocalista do grupo, grande controle de pitch, expressiva""","""Movimentos coreográficos menos refinados"""
4,idol,cherrybulletjiwon,Jiwon,Cherry Bullet,04-09-2000,B,B,C,S,S,Visual,Cute Pop / Retro Tech Pop,,"""Boa rapper e dançarina, forte presença cênica""","""Vocais medianos, respiração irregular"""
4,idol,cherrybulletmay,May,Cherry Bullet,16-11-2004,B,B,D,B,B,Dance,Cute Pop / Retro Tech Pop,,"""Destaque visual, charmosa em conceitos doces""","""Performance e vocais inconsistentes"""
4,idol,cherrybulletremi,Remi,Cherry Bullet,26-04-2001,C,A,C,C,C,Dance,Cute Pop / Retro Tech Pop,,"""Movimentos precisos e energia alegre, sólida em refrões""","""Falta projeção e confiança em solos"""
4,idol,cherrybulletyuju,Yuju,Cherry Bullet,05-03-1997,B,B,D,B,B,Vocal,Cute Pop / Retro Tech Pop,,"""Excelente performer e center natural, boa energia de palco""","""Falta potência vocal"""
4,idol,cignaturechaesol,Chaesol,cignature,14-07-1998,B,B,D,B,A,,Teen Crush / Vibrant Pop,,"""Boa dançarina e expressão cênica natural, destaque em conceitos energéticos""","""Falta projeção vocal e estabilidade nas notas médias"""
4,idol,cignaturechloe,Chloe,cignature,06-01-2001,B,C,D,C,B,,Teen Crush / Vibrant Pop,,"""Vocal límpido e estável, estilo mais suave e emotivo""","""Pouca versatilidade em conceito crush"""
4,idol,cignaturedohee,Dohee,cignature,01-08-2002,C,B,C,C,B,,Teen Crush / Vibrant Pop,,"""Boa estabilidade e tonalidade única, forte conexão de palco""","""Movimentos menos limpos que as principais dancers"""
4,idol,cignaturejeewon,Jeewon,cignature,01-04-1999,B,B,D,S,A,Center,Teen Crush / Vibrant Pop,,"""Vocal sólida, bom controle de palco e carisma consistente""","""Movimentos às vezes rígidos em coreografias rápidas"""
4,idol,cignatureseline,Seline,cignature,20-06-2000,C,B,C,C,B,,Teen Crush / Vibrant Pop,,"""Expressiva, carismática e visual marcante, boa coordenação corporal""","""Falta estabilidade em vocais de apoio"""
4,idol,cignaturesemi,Semi,cignature,10-04-2002,B,B,D,B,C,Vocal,Teen Crush / Vibrant Pop,,"""Coreógrafa de precisão e boa rapper, presença consistente""","""Técnica vocal básica"""
4,idol,cignaturesunnformer,Sunn (former),cignature,07-02-2000,C,A,B,B,C,Dance,Teen Crush / Vibrant Pop,,"""Boa rapper e energia sólida, coordenação forte""","""Falta de precisão rítmica em algumas partes"""
4,idol,cignatureyeahformer,Ye Ah (former),cignature,09-10-1999,A,C,D,B,C,Vocal,Teen Crush / Vibrant Pop,,"""Boa rapper e stage performer, presença energética""","""Vocais inconsistentes e pouca emoção nas falas"""
5,idol,classyboeun,Boeun,CLASS:y,11-02-2008,B,B,D,A,A,Vocal,Elegant Pop / Visual,,"""Visual marcante, vocais estáveis e controlados""","""Falta projeção em notas altas"""
5,idol,classychaewon,Chaewon,CLASS:y,04-06-2003,A,B,D,B,A,Vocal,R&B / Charisma,,"""Flow suave e vocal limpo, presença constante no palco""","""Falta potência nas notas graves"""
5,idol,classyhyeju,Hyeju,CLASS:y,09-12-2003,C,A,C,B,B,Dance,Girlcrush / Balanced,,"""All-rounder sólida, mantém consistência nas três áreas principais""","""Falta brilho individual em foco de câmera"""
5,idol,classyjimin,Jimin,CLASS:y,25-11-2007,A,B,C,A,A,Vocal,Pop / Vocal Power,,"""Técnica vocal madura para a idade, timbre limpo e boa extensão""","""Expressividade facial um pouco contida em estágios cute"""
5,idol,classymyunghyungseo,Myung Hyungseo,CLASS:y,25-06-2001,B,B,D,B,B,Vocal,Emotional Pop / Vocal,,"""Timbre emocional e técnica refinada, presença de palco madura""","""Movimentos de dança menos fluidos em coreos rápidas"""
5,idol,classyriwon,Riwon,CLASS:y,11-01-2007,A,C,D,C,B,Vocal,Cute / Bright Pop,,"""Boa projeção vocal e energia leve, comunicação natural""","""Rap limitado, coreografias complexas um pouco rígidas"""
5,idol,classyseonyou,Seonyou,CLASS:y,20-03-2008,D,B,C,B,B,Rap,Hip-hop / Performance,,"""Dança carismática, entrega energética, rap rítmico e dinâmico""","""Estabilidade vocal variável ao vivo"""
5,idol,cosmosyamei,A’mei ,COSMOSY,30-10-2007,B,B,A,B,C,Rap,Elegant Pop / R&B,,"""Vocal limpo e expressivo, ótimo controle tonal, presença carismática e confiante""","""Ainda carece de potência em agudos longos, energia levemente contida"""
5,idol,cosmosydehana,De_Hana,COSMOSY,10-05-2006,A,B,D,B,A,Vocal,R&B / Hip-Hop,,"""Flow firme e articulado, dicção clara e ritmo bem controlado""","""Falta amplitude vocal, expressão cênica discreta"""
5,idol,cosmosyhimesha,Himesha,COSMOSY,23-01-2006,B,B,A,B,C,Rap,Pop / Dance,,"""Coordenação precisa, fluidez corporal notável, expressão natural""","""Timbre vocal leve e projeção reduzida em palco"""
5,idol,cosmosykamion,Kamión,COSMOSY,18-07-2006,A,B,D,B,B,Vocal,Dream Pop / Visual,,"""Visual etéreo e estilo refinado, destaque em close-ups""","""Técnica vocal limitada, estabilidade irregular em dança rápida"""
4,idol,csrduna,Duna,CSR,28-04-2005,B,B,D,B,A,,Pop / Dance Line,,"""Excelente coordenação e ritmo, execução limpa""","""Controle de respiração precisa melhorar em long sets"""
4,idol,csrgeumhee,Geumhee,CSR,04-03-2005,D,C,C,C,B,,Vocal / Pure Pop,,"""Timbre agradável, harmonia estável""","""Falta intensidade nas notas mais altas"""
4,idol,csrseoyeon,Seoyeon,CSR,26-03-2005,B,B,D,B,B,,Supporting Vocal / Cute,,"""Vocal limpo e estável, carisma leve""","""Falta projeção e confiança em câmera"""
4,idol,csrsihyeon,Sihyeon,CSR,12-03-2005,D,C,D,C,B,,Visual / Emotional Pop,,"""Visual proeminente e expressão cinematográfica""","""Menos destaque técnico em vocal"""
4,idol,csrsua,Sua,CSR,23-07-2005,C,B,D,B,A,,Bright Pop / Emotional,,"""Técnica vocal refinada, projeção estável, timbre puro e distinto""","""Expressão facial contida em coreos mais intensas"""
4,idol,csryeham,Yeham,CSR,07-10-2005,A,B,D,B,B,,All-rounder / Pop & R&B,,"""Boa versatilidade, presença natural""","""Falta impacto em dança rápida"""
4,idol,csryuna,Yuna,CSR,23-04-2005,A,B,D,B,A,,Cute / Pop Ballad,,"""Vocal suave e harmonioso, delicadeza natural de palco""","""Falta de presença em performances girlcrush"""
4,idol,dreamnoteboni,Boni,DreamNote,30-10-1999,B,B,D,B,C,,Main Vocal / Pop,,"""Vibrato limpo, estabilidade e confiança notáveis em palco""","""Rap fraco, presença cênica mais reservada"""
4,idol,dreamnoteeunjo,Eunjo,DreamNote,07-03-2002,B,B,C,B,B,,Visual / Emotional,,"""Visual de destaque e carisma de câmera, tom vocal agradável""","""Falta domínio técnico, pouca agressividade em coreos"""
4,idol,dreamnotehanbyeol,Hanbyeol,DreamNote,25-02-2002,C,B,C,B,B,,All-rounder / Soft Pop,,"""Equilíbrio entre vocal e dança, boa consistência""","""Falta projeção e originalidade vocal"""
4,idol,dreamnotelara,Lara ,DreamNote,09-08-2000,A,B,D,B,B,,R&B / Vocal Power,,"""Timbre rico e controle de respiração exemplar, excelente dicção""","""Coreografia em ritmo acelerado às vezes perde fluidez"""
4,idol,dreamnotemiso,Miso,DreamNote,25-10-2000,A,B,C,B,B,,Bright Pop / Dance Line,,"""Agilidade, coordenação e expressão vívida, técnica consistente""","""Timbre vocal delicado, menor projeção em estágios ao vivo"""
4,idol,dreamnotesumin,Sumin,DreamNote,07-09-2001,B,B,D,A,B,,Rap / Performance,,"""Flow natural e limpo, entrega confiante, bom controle de timing""","""Alcance vocal limitado, expressão facial um pouco repetitiva"""
4,idol,dreamnoteyoui,Youi,DreamNote,24-04-2000,C,B,D,B,B,,Elegant Pop / Leader,,"""Liderança natural, voz estável e clara, boa presença de palco""","""Falta impacto vocal em notas altas, rap não explorado"""
4,idol,everglowaisha,Aisha ,Everglow,21-07-2000,C,A,B,B,A,,Rap / Dark-Pop,,"""Flow e presença poderosos, linha de rap de apoio estável""","""Projeção vocal limitada, controle de respiração em falsettos"""
4,idol,evergloweu,E:U,Everglow,19-05-1998,D,B,S,B,B,,Girlcrush / Performance,,"""Energia de palco explosiva, timbre grave e distinto, rapper versátil""","""Controle vocal irregular, dicção em inglês limitada"""
4,idol,everglowmia,Mia,Everglow,13-01-2000,A,S,B,A,B,,Dance / Charisma,,"""Precisão coreográfica, intensidade performática de elite""","""Timbre vocal rasgado — difícil manter consistência ao vivo"""
4,idol,everglowonda,Onda,Everglow,18-05-2000,C,A,D,C,C,,Visual / Cute-Pop,,"""Visual e expressão ideais para variações de conceito, evolução notável""","""Força vocal mediana, coreografias pesadas exigem esforço extra"""
4,idol,everglowsihyeon,Sihyeon,Everglow,05-08-1999,A,B,D,B,A,,Vocal / Elegant Power,,"""Técnica vocal sólida, estabilidade, excelente líder e presença de palco""","""Rap e movimentos agressivos um pouco contidos"""
4,idol,everglowyiren,Yiren,Everglow,29-12-2000,C,B,D,A,S,,Visual / Graceful,,"""Visual top-tier, graciosidade e carisma natural, boa gestualidade""","""Falta impacto performático em trechos fortes, vocais delicados demais"""
5,idol,fiftyfiftyathena,Athena,FIFTY FIFTY,15-03-2007,B,B,D,A,B,,Maknae / Supporting Vocal,,"""Desenvolvimento contínuo""","""Técnica vocal e rap ainda em crescimento"""
5,idol,fiftyfiftychanellemoon,Chanelle Moon,FIFTY FIFTY,14-06-2003,A,A,B,B,C,,Vocal / Pop-R&B,,"""Vocais estáveis, presença de palco boa""","""Dança e rap menos destacados"""
5,idol,fiftyfiftyhana,Hana,FIFTY FIFTY,05-09-2006,A,B,D,C,B,,Main Dancer / Visual Pop,,"""Visual forte, presença marcante em palco""","""Técnica vocal moderada"""
5,idol,fiftyfiftykeena,Keena,FIFTY FIFTY,09-07-2002,B,B,B,B,C,,Rap-Leader / Global Pop,,"""Rap strong, entrega internacional""","""Vocal principal menos desenvolvido"""
5,idol,fiftyfiftyyewon,Yewon,FIFTY FIFTY,18-03-2005,B,C,D,B,B,,Lead Vocal / Dance Focus,,"""Dança técnica, boa execução""","""Vocais principais com menor amplitude"""
4,idol,fromis9chaeyoung,Chaeyoung,fromis_9,14-05-2000,B,B,C,B,A,,Performance / Dance Focus,,"""Execução de dança acima da média""","""Técnica vocal menos refinada"""
4,idol,fromis9gyuri,Gyuri,fromis_9,27-12-1997,A,C,D,B,A,,Main Vocal / Pop-Ballad,,"""Vocais sólidos, bom sustain""","""Dança e rap menos proeminentes"""
4,idol,fromis9hayoung,Hayoung,fromis_9,29-09-1997,S,A,D,B,A,,Bright Pop / Leader,,"""Liderança e vocals de apoio""","""Técnica de rap e dança moderada"""
4,idol,fromis9jiheon,Jiheon,fromis_9,17-04-2003,C,B,D,C,A,,Maknae / Supporting Line,,"""Envolvente em performances""","""Técnica vocal e rap básica"""
4,idol,fromis9jisun,Jisun,fromis_9,23-11-1998,C,C,D,B,A,,Supporting Vocal / Performance,,"""Execução de grupo estável""","""Técnica individual limitada"""
4,idol,fromis9jiwon,Jiwon,fromis_9,20-03-1998,S,B,D,B,B,,Lead Vocal / Elegant Pop,,"""Visual forte, vocais de apoio""","""Dança e rap com menor destaque"""
4,idol,fromis9nagyung,Nagyung,fromis_9,01-06-2000,A,B,D,A,A,,Supporting Vocal / Youth Pop,,"""Consistência de grupo""","""Técnica individual ainda em crescimento"""
4,idol,fromis9saerom,Saerom,fromis_9,07-01-1997,C,A,D,B,A,,Dance Line / Bright Pop,,"""Dança forte, presença de palco""","""Técnica vocal de lead ainda em progresso"""
4,idol,fromis9seoyeon,Seoyeon,fromis_9,22-01-2000,B,B,B,C,B,,Visual / Vocal,,"""Visual marcante, vocais consistentes""","""Rap e presença centrada menos destacados"""
4,idol,h1keyhwiseo,Hwiseo,H1-KEY,31-07-2002,A,B,C,A,B,,Supporting Vocal / Performance,,"""Técnica vocal estável, boa presença de grupo""","""Dance e rap ainda desenvolvendo"""
4,idol,h1keyriina,Riina,H1-KEY,21-02-2001,B,B,D,B,A,,Vocal / Elegant Pop,,"""Vocais limpos e consistentes""","""Menos impacto em rap, dança pode se intensificar mais"""
4,idol,h1keyseoi,Seoi,H1-KEY,12-02-2000,B,C,D,B,A,,Leader / Dance-Vocal Hybrid,,"""Equilíbrio técnico bom, presença forte em palco""","""Ainda não se destaca como vocal de elite"""
4,idol,h1keyyel,Yel,H1-KEY,25-12-2004,B,A,C,A,A,,Dance / Rap Focus,,"""Flow de rap forte, excelente execução de dança""","""Técnica vocal mais limitada, liderança de palco menor"""
5,idol,hearts2heartsa-na,A-na,Hearts2Hearts,20-12-2008,B,A,B,S,S,,Supporting Vocals / Cute Focus,,"""Presença de grupo estável""","""Pouco destaque em solo técnico"""
5,idol,hearts2heartscarmen,Carmen,Hearts2Hearts,28-03-2006,S,B,D,B,B,,Vocal / Multi-talent,,"""Técnica vocal boa, multinacional qualificação""","""Ainda em crescimento em dance e rap"""
5,idol,hearts2heartsian,Ian,Hearts2Hearts,09-10-2009,B,A,D,S,S,,Maknae / Performance Foundation,,"""Projeção para grupo futuro""","""Técnica ainda emergente em várias posições"""
5,idol,hearts2heartsjiwoo,Jiwoo,Hearts2Hearts,07-09-2006,C,A,C,B,S,,Leader / Global Pop,,"""Vocais estáveis, presença forte, visual marcante""","""Rap/flow ainda limitado"""
5,idol,hearts2heartsjuun,Juun,Hearts2Hearts,03-12-2008,C,S,B,C,B,,Maknae / Bright Concept,,"""Dança boa, presença juvenil""","""Técnica vocal/rap menos refinada"""
5,idol,hearts2heartsstella,Stella,Hearts2Hearts,18-06-2007,A,B,D,B,A,,Visual / Performance Focus,,"""Visual expressivo, boa performance em palco""","""Vocais principais e rap ainda em desenvolvimento"""
5,idol,hearts2heartsye-on,Ye-on,Hearts2Hearts,19-04-2010,A,B,D,C,B,,Maknae / Youth Pop,,"""Potencial de crescimento""","""Trabalho técnico ainda em fase inicial"""
5,idol,hearts2heartsyuha,Yuha,Hearts2Hearts,12-04-2007,A,B,D,B,A,,All-rounder / Bright Pop,,"""Dança de qualidade, vocais consistentes""","""Rap linha menos destacada"""
5,idol,hitgshyerin,Hyerin,HITGS,10-12-2009,B,B,D,A,A,,Supporting Vocals / Cute Line,,"""Boa presença de grupo""","""Técnica vocal e rap ainda iniciante"""
5,idol,hitgsiyoo,Iyoo,HITGS,26-03-2010,B,B,B,B,B,,Maknae / Youth Pop,,"""Potencial de crescimento""","""Técnica geral ainda em fase de desenvolvimento"""
5,idol,hitgsseohee,Seohee,HITGS,11-05-2009,B,B,D,B,B,,Rap / Urban Pop,,"""Entrega de rap competitiva""","""Vocal principal médio, técnica precisa em notas altas"""
5,idol,hitgsseojin,Seojin,HITGS,16-04-2008,D,C,D,C,C,,Visual / Pop,,"""Visual marcante, bom para câmeras""","""Rap e vocal principais menos evidentes"""
5,idol,hitgsvv,VV,HITGS,03-06-2006,D,D,D,D,B,,Teen Pop / Performance-Focus,,"""Boa coordenação de dança, presença de palco""","""Técnica vocal principal ainda em crescimento"""
4,idol,i-dleminnie,Minnie,i-dle,23-10-1997,A,B,D,B,A,,Vocal / Pop R&B,,"""Excelente timbre e musicalidade, mantém afinação em falsetes e runs nas shows analisadas, boa presença em partes melódicas ""","""Menor projeção em passagens com muita backing , instrumental alto, rap é limitado"""
4,idol,i-dlemiyeon,Miyeon,i-dle,31-01-1997,S,C,D,B,A,,Main vocal / Elegant pop,,"""Estabilidade de pitch e controle dinâmico consistente nas 4 stages (sustain, respiração) Vívida atuação vocal em refrões e adlibs ""","""Em números muito agudos perde um pouco da potência, performances muito dançantes exigem suporte respiratório extra"""
4,idol,i-dleshuhua,Shuhua,i-dle,06-01-2000,D,B,D,C,S,,Visual / Supporting vocal,,"""Fotogenia e expressão para câmera muito boas, segurou bem linhas de apoio nas performances sem quebrar harmonia ""","""Técnica vocal e potência limitadas em solos, rap não é posição forte, dança consistente mas não de destaque técnico"""
4,idol,i-dlesoyeon,Soyeon,i-dle,26-08-1998,B,B,S,B,C,,Rap / Producer / Leader,,"""Rap/flow e entrega vocal rítmica excepcionais — clareza e atitude nas stages (destaque técnico de rap) Carisma de palco consistente ""","""Técnica de canto mais crua, sustain e afinação em notas longas menos refinados"""
4,idol,i-dleyuqi,Yuqi,i-dle,23-09-1999,B,B,B,B,A,,Strong vocal / Performance,,"""Projeção sólida e cor de voz distinta, mantém estabilidade em refrões ao vivo nas 4 shows, presença cênica autêntica ""","""Movimento de palco intenso pode afetar levemente o suporte respiratório, rap/flow medianos"""
4,idol,ichillinchaerin,Chaerin,ICHILLIN',31-03-2003,B,B,D,B,B,,Vocal Focus / Emotional Pop,,"""Técnica vocal refinada""","""Rap e dança menos explorados"""
