Geração,Type,ID,Nome,Grupo,Vocal,Dance,Rap,Center,Visual,Especialidade,Conceito predominante,Pontos Fortes,Pontos Fracos
4,Idol,billlieharuna,Haruna,Billlie,C,B,C,C,A,,Visual / Supporting Vocals,Visual forte / presença visual marcante,Técnica vocal e rap ainda em crescimento
4,Idol,billlieharam,Haram,Billlie,A,C,D,C,B,,Vocal Main / Emotional Pop,Dominância vocal em partes melódicas,Rap e dança com menos destaque
4,Idol,bvndityiyeon,Yiyeon,BVNDIT,B,B,D,C,C,,Girl Crush / Modern R&B Pop,Vocal sólido / estável ao vivo / boa líder de palco / presença marcante,Falta impacto em coreografias de alta intensidade
4,Idol,bvnditsonghee,Songhee,BVNDIT,B,B,D,B,A,,Girl Crush / Modern R&B Pop,Vocal doce e limpo / boa dicção e apoio melódico,Falta projeção vocal em refrões / timidez performática
4,Idol,bvnditsimyeong,Simyeong,BVNDIT,B,B,D,C,C,,Girl Crush / Modern R&B Pop,Destaque visual e expressividade / boa leitura de câmera,Falta estabilidade vocal em notas longas
4,Idol,bvnditseungeun,Seungeun,BVNDIT,B,B,D,B,B,,Girl Crush / Modern R&B Pop,Melhor dançarina do grupo / grande controle rítmico e carisma,Falta consistência vocal em partes principais
4,Idol,bvnditjungwoo,Jungwoo,BVNDIT,A,B,D,B,C,,Girl Crush / Modern R&B Pop,Excelente dançarina / movimentos controlados e expressivos,Voz pouco marcante / timbre plano
4,Idol,cherrybulletyuju,Yuju,Cherry Bullet,B,B,D,B,B,,Cute Pop / Retro Tech Pop,Excelente performer e center natural / boa energia de palco,Falta potência vocal
4,Idol,cherrybulletremi,Remi,Cherry Bullet,C,A,C,C,C,,Cute Pop / Retro Tech Pop,Movimentos precisos e energia alegre / sólida em refrões,Falta projeção e confiança em solos
4,Idol,cherrybulletmay,May,Cherry Bullet,B,B,D,B,B,,Cute Pop / Retro Tech Pop,Destaque visual / charmosa em conceitos doces,Performance e vocais inconsistentes
4,Idol,cherrybulletjiwon,Jiwon,Cherry Bullet,B,B,C,S,S,,Cute Pop / Retro Tech Pop,Boa rapper e dançarina / forte presença cênica,Vocais medianos / respiração irregular
4,Idol,cherrybullethaeyoon,Haeyoon,Cherry Bullet,S,C,D,B,C,,Cute Pop / Retro Tech Pop,Melhor vocalista do grupo / grande controle de pitch / expressiva,Movimentos coreográficos menos refinados
4,Idol,cherrybulletchaerin,Chaerin,Cherry Bullet,C,A,C,C,B,,Cute Pop / Retro Tech Pop,Equilibrada tecnicamente / expressiva em estilos variados,Falta impacto visual
4,Idol,cherrybulletbora,Bora,Cherry Bullet,S,B,D,B,C,,Cute Pop / Retro Tech Pop,Boa estabilidade vocal / presença equilibrada,Expressividade irregular / falta impacto individual
4,Idol,cignatureyeahformer,Ye Ah (former),cignature,A,C,D,B,C,,Teen Crush / Vibrant Pop,Boa rapper e stage performer / presença energética,Vocais inconsistentes e pouca emoção nas falas
4,Idol,cignaturesunnformer,Sunn (former),cignature,C,A,B,B,C,,Teen Crush / Vibrant Pop,Boa rapper e energia sólida / coordenação forte,Falta de precisão rítmica em algumas partes
4,Idol,cignaturesemi,Semi,cignature,B,B,D,B,C,,Teen Crush / Vibrant Pop,Coreógrafa de precisão e boa rapper / presença consistente,Técnica vocal básica
4,Idol,cignatureseline,Seline,cignature,C,B,C,C,B,,Teen Crush / Vibrant Pop,Expressiva / carismática e visual marcante / boa coordenação corporal,Falta estabilidade em vocais de apoio
4,Idol,cignaturejeewon,Jeewon,cignature,B,B,D,S,A,,Teen Crush / Vibrant Pop,Vocal sólida / bom controle de palco e carisma consistente,Movimentos às vezes rígidos em coreografias rápidas
4,Idol,cignaturedohee,Dohee,cignature,C,B,C,C,B,,Teen Crush / Vibrant Pop,Boa estabilidade e tonalidade única / forte conexão de palco,Movimentos menos limpos que as principais dancers
4,Idol,cignaturechloe,Chloe,cignature,B,C,D,C,B,,Teen Crush / Vibrant Pop,Vocal límpido e estável / estilo mais suave e emotivo,Pouca versatilidade em conceito “crush”
4,Idol,cignaturechaesol,Chaesol,cignature,B,B,D,B,A,,Teen Crush / Vibrant Pop,Boa dançarina e expressão cênica natural / destaque em conceitos energéticos,Falta projeção vocal e estabilidade nas notas médias
5,Idol,classyseonyou,Seonyou,CLASS:y,D,B,C,B,B,,Hip-hop / Performance,Dança carismática / entrega energética / rap rítmico e dinâmico,Estabilidade vocal variável ao vivo
5,Idol,classyriwon,Riwon,CLASS:y,A,C,D,C,B,,Cute / Bright Pop,Boa projeção vocal e energia leve / comunicação natural,Rap limitado / coreografias complexas um pouco rígidas
5,Idol,classymyunghyungseo,Myung Hyungseo,CLASS:y,B,B,D,B,B,,Emotional Pop / Vocal,Timbre emocional e técnica refinada / presença de palco madura,Movimentos de dança menos fluidos em coreos rápidas
5,Idol,classyjimin,Jimin,CLASS:y,A,B,C,A,A,,Pop / Vocal Power,Técnica vocal madura para a idade / timbre limpo e boa extensão,Expressividade facial um pouco contida em estágios “cute”
5,Idol,classyhyeju,Hyeju,CLASS:y,C,A,C,B,B,,Girlcrush / Balanced,All-rounder sólida / mantém consistência nas três áreas principais,Falta brilho individual em foco de câmera
5,Idol,classychaewon,Chaewon,CLASS:y,A,B,D,B,A,,R&B / Charisma,Flow suave e vocal limpo / presença constante no palco,Falta potência nas notas graves
5,Idol,classyboeun,Boeun,CLASS:y,B,B,D,A,A,,Elegant Pop / Visual,Visual marcante / vocais estáveis e controlados,Falta projeção em notas altas
5,Idol,cosmosykamion,Kamión,COSMOSY,A,B,D,B,B,,Dream Pop / Visual,Visual etéreo e estilo refinado / destaque em close-ups,Técnica vocal limitada / estabilidade irregular em dança rápida
5,Idol,cosmosyhimesha,Himesha,COSMOSY,B,B,A,B,C,,Pop / Dance,Coordenação precisa / fluidez corporal notável / expressão natural,Timbre vocal leve e projeção reduzida em palco
5,Idol,cosmosydehana,De_Hana,COSMOSY,A,B,D,B,A,,R&B / Hip-Hop,Flow firme e articulado / dicção clara e ritmo bem controlado,Falta amplitude vocal / expressão cênica discreta
5,Idol,cosmosyamei,A’mei ,COSMOSY,B,B,A,B,C,,Elegant Pop / R&B,Vocal limpo e expressivo / ótimo controle tonal / presença carismática e confiante,Ainda carece de potência em agudos longos / energia levemente contida
4,Idol,csryuna,Yuna,CSR,A,B,D,B,A,,Cute / Pop Ballad,Vocal suave e harmonioso / delicadeza natural de palco,Falta de presença em performances girlcrush
4,Idol,csryeham,Yeham,CSR,A,B,D,B,B,,All-rounder / Pop & R&B,Boa versatilidade / presença natural,Falta impacto em dança rápida
4,Idol,csrsua,Sua,CSR,C,B,D,B,A,,Bright Pop / Emotional,Técnica vocal refinada / projeção estável / timbre puro e distinto,Expressão facial contida em coreos mais intensas
4,Idol,csrsihyeon,Sihyeon,CSR,D,C,D,C,B,,Visual / Emotional Pop,Visual proeminente e expressão cinematográfica,Menos destaque técnico em vocal
4,Idol,csrseoyeon,Seoyeon,CSR,B,B,D,B,B,,Supporting Vocal / Cute,Vocal limpo e estável / carisma leve,Falta projeção e confiança em câmera
4,Idol,csrgeumhee,Geumhee,CSR,D,C,C,C,B,,Vocal / Pure Pop,Timbre agradável / harmonia estável,Falta intensidade nas notas mais altas
4,Idol,csrduna,Duna,CSR,B,B,D,B,A,,Pop / Dance Line,Excelente coordenação e ritmo / execução limpa,Controle de respiração precisa melhorar em long sets
4,Idol,dreamnoteyoui,Youi,DreamNote,C,B,D,B,B,,Elegant Pop / Leader,Liderança natural / voz estável e clara / boa presença de palco,Falta impacto vocal em notas altas / rap não explorado
4,Idol,dreamnotesumin,Sumin,DreamNote,B,B,D,A,B,,Rap / Performance,Flow natural e limpo / entrega confiante / bom controle de timing,Alcance vocal limitado / expressão facial um pouco repetitiva
4,Idol,dreamnotemiso,Miso,DreamNote,A,B,C,B,B,,Bright Pop / Dance Line,Agilidade / coordenação e expressão vívida / técnica consistente,Timbre vocal delicado / menor projeção em estágios ao vivo
4,Idol,dreamnotelara,Lara ,DreamNote,A,B,D,B,B,,R&B / Vocal Power,Timbre rico e controle de respiração exemplar / excelente dicção,Coreografia em ritmo acelerado às vezes perde fluidez
4,Idol,dreamnotehanbyeol,Hanbyeol,DreamNote,C,B,C,B,B,,All-rounder / Soft Pop,Equilíbrio entre vocal e dança / boa consistência,Falta projeção e originalidade vocal
4,Idol,dreamnoteeunjo,Eunjo,DreamNote,B,B,C,B,B,,Visual / Emotional,Visual de destaque e carisma de câmera / tom vocal agradável,Falta domínio técnico / pouca agressividade em coreos
4,Idol,dreamnoteboni,Boni,DreamNote,B,B,D,B,C,,Main Vocal / Pop,Vibrato limpo / estabilidade e confiança notáveis em palco,Rap fraco / presença cênica mais reservada
4,Idol,everglowyiren,Yiren,Everglow,C,B,D,A,S,,Visual / Graceful,Visual top-tier / graciosidade e carisma natural / boa gestualidade,Falta impacto performático em trechos fortes / vocais delicados demais
4,Idol,everglowsihyeon,Sihyeon,Everglow,A,B,D,B,A,,Vocal / Elegant Power,Técnica vocal sólida / estabilidade / excelente líder e presença de palco,Rap e movimentos agressivos um pouco contidos
4,Idol,everglowonda,Onda,Everglow,C,A,D,C,C,,Visual / Cute-Pop,Visual e expressão ideais para variações de conceito / evolução notável,Força vocal mediana / coreografias pesadas exigem esforço extra
4,Idol,everglowmia,Mia,Everglow,A,S,B,A,B,,Dance / Charisma,Precisão coreográfica / intensidade performática de elite,Timbre vocal rasgado — difícil manter consistência ao vivo
4,Idol,evergloweu,E:U,Everglow,D,B,S,B,B,,Girlcrush / Performance,Energia de palco explosiva / timbre grave e distinto / rapper versátil,Controle vocal irregular / dicção em inglês limitada
4,Idol,everglowaisha,Aisha ,Everglow,C,A,B,B,A,,Rap / Dark-Pop,Flow e presença poderosos / linha de rap de apoio estável,Projeção vocal limitada / controle de respiração em falsettos
5,Idol,fiftyfiftyyewon,Yewon,FIFTY FIFTY,B,C,D,B,B,,Lead Vocal / Dance Focus,Dança técnica / boa execução,Vocais principais com menor amplitude
5,Idol,fiftyfiftykeena,Keena,FIFTY FIFTY,B,B,B,B,C,,Rap-Leader / Global Pop,Rap strong / entrega internacional,Vocal principal menos desenvolvido
5,Idol,fiftyfiftyhana,Hana,FIFTY FIFTY,A,B,D,C,B,,Main Dancer / Visual Pop,Visual forte / presença marcante em palco,Técnica vocal moderada
5,Idol,fiftyfiftychanellemoon,Chanelle Moon,FIFTY FIFTY,A,A,B,B,C,,Vocal / Pop-R&B,Vocais estáveis / presença de palco boa,Dança e rap menos destacados
5,Idol,fiftyfiftyathena,Athena,FIFTY FIFTY,B,B,D,A,B,,Maknae / Supporting Vocal,Desenvolvimento contínuo,Técnica vocal e rap ainda em crescimento
4,Idol,fromis9seoyeon,Seoyeon,fromis_9,B,B,B,C,B,,Visual / Vocal,Visual marcante / vocais consistentes,Rap e presença centrada menos destacados
4,Idol,fromis9saerom,Saerom,fromis_9,C,A,D,B,A,,Dance Line / Bright Pop,Dança forte / presença de palco,Técnica vocal de lead ainda em progresso
4,Idol,fromis9nagyung,Nagyung,fromis_9,A,B,D,A,A,,Supporting Vocal / Youth Pop,Consistência de grupo,Técnica individual ainda em crescimento
4,Idol,fromis9jiwon,Jiwon,fromis_9,S,B,D,B,B,,Lead Vocal / Elegant Pop,Visual forte / vocais de apoio,Dança e rap com menor destaque
4,Idol,fromis9jisun,Jisun,fromis_9,C,C,D,B,A,,Supporting Vocal / Performance,Execução de grupo estável,Técnica individual limitada
4,Idol,fromis9jiheon,Jiheon,fromis_9,C,B,D,C,A,,Maknae / Supporting Line,Envolvente em performances,Técnica vocal e rap básica
4,Idol,fromis9hayoung,Hayoung,fromis_9,S,A,D,B,A,,Bright Pop / Leader,Liderança e vocals de apoio,Técnica de rap e dança moderada
4,Idol,fromis9gyuri,Gyuri,fromis_9,A,C,D,B,A,,Main Vocal / Pop-Ballad,Vocais sólidos / bom sustain,Dança e rap menos proeminentes
4,Idol,fromis9chaeyoung,Chaeyoung,fromis_9,B,B,C,B,A,,Performance / Dance Focus,Execução de dança acima da média,Técnica vocal menos refinada
4,Idol,h1-keyyel,Yel,H1-KEY,B,A,C,A,A,,Dance / Rap Focus,Flow de rap forte / excelente execução de dança,Técnica vocal mais limitada / liderança de palco menor
4,Idol,h1-keyseoi,Seoi,H1-KEY,B,C,D,B,A,,Leader / Dance-Vocal Hybrid,Equilíbrio técnico bom / presença forte em palco,Ainda não se destaca como vocal de elite
4,Idol,h1-keyriina,Riina,H1-KEY,B,B,D,B,A,,Vocal / Elegant Pop,Vocais limpos e consistentes,Menos impacto em rap / dança pode se intensificar mais
4,Idol,h1-keyhwiseo,Hwiseo,H1-KEY,A,B,C,A,B,,Supporting Vocal / Performance,Técnica vocal estável / boa presença de grupo,Dance e rap ainda desenvolvendo
5,Idol,hearts2heartsyuha,Yuha,Hearts2Hearts,A,B,D,B,A,,All-rounder / Bright Pop,Dança de qualidade / vocais consistentes,Rap linha menos destacada
5,Idol,hearts2heartsye-on,Ye-on,Hearts2Hearts,A,B,D,C,B,,Maknae / Youth Pop,Potencial de crescimento,Trabalho técnico ainda em fase inicial
5,Idol,hearts2heartsstella,Stella,Hearts2Hearts,A,B,D,B,A,,Visual / Performance Focus,Visual expressivo / boa performance em palco,Vocais principais e rap ainda em desenvolvimento
5,Idol,hearts2heartsjuun,Juun,Hearts2Hearts,C,S,B,C,B,,Maknae / Bright Concept,Dança boa / presença juvenil,Técnica vocal/rap menos refinada
5,Idol,hearts2heartsjiwoo,Jiwoo,Hearts2Hearts,C,A,C,B,S,,Leader / Global Pop,Vocais estáveis / presença forte / visual marcante,Rap/flow ainda limitado
5,Idol,hearts2heartsian,Ian,Hearts2Hearts,B,A,D,S,S,,Maknae / Performance Foundation,Projeção para grupo futuro,Técnica ainda emergente em várias posições
5,Idol,hearts2heartscarmen,Carmen,Hearts2Hearts,S,B,D,B,B,,Vocal / Multi-talent,Técnica vocal boa / multinacional qualificação,Ainda em crescimento em dance e rap
5,Idol,hearts2heartsa-na,A-na,Hearts2Hearts,B,A,B,S,S,,Supporting Vocals / Cute Focus,Presença de grupo estável,Pouco destaque em solo técnico
5,Idol,hitgsvv,VV,HITGS,D,D,D,D,B,,Teen Pop / Performance-Focus,Boa coordenação de dança / presença de palco,Técnica vocal principal ainda em crescimento
5,Idol,hitgsseojin,Seojin,HITGS,D,C,D,C,C,,Visual / Pop,Visual marcante / bom para câmeras,Rap e vocal principais menos evidentes
5,Idol,hitgsseohee,Seohee,HITGS,B,B,D,B,B,,Rap / Urban Pop,Entrega de rap competitiva,Vocal principal médio / técnica precisa em notas altas
5,Idol,hitgsiyoo,Iyoo,HITGS,B,B,B,B,B,,Maknae / Youth Pop,Potencial de crescimento,Técnica geral ainda em fase de desenvolvimento
5,Idol,hitgshyerin,Hyerin,HITGS,B,B,D,A,A,,Supporting Vocals / Cute Line,Boa presença de grupo,Técnica vocal e rap ainda iniciante
4,Idol,i-dleyuqi,Yuqi,i-dle,B,B,B,B,A,,Strong vocal / Performance,Projeção sólida e cor de voz distinta / mantém estabilidade em refrões ao vivo nas 4 shows / presença cênica autêntica ,Movimento de palco intenso pode afetar levemente o suporte respiratório / rap/flow medianos
4,Idol,i-dlesoyeon,Soyeon,i-dle,B,B,S,B,C,,Rap / Producer / Leader,Rap/flow e entrega vocal rítmica excepcionais — clareza e atitude nas stages (destaque técnico de rap) Carisma de palco consistente ,Técnica de canto mais crua / sustain e afinação em notas longas menos refinados
4,Idol,i-dleshuhua,Shuhua,i-dle,D,B,D,C,S,,Visual / Supporting vocal,Fotogenia e expressão para câmera muito boas / segurou bem linhas de apoio nas performances sem quebrar harmonia ,Técnica vocal e potência limitadas em solos / rap não é posição forte / dança consistente mas não de destaque técnico
4,Idol,i-dlemiyeon,Miyeon,i-dle,S,C,D,B,A,,Main vocal / Elegant pop,Estabilidade de pitch e controle dinâmico consistente nas 4 stages (sustain / respiração) Vívida atuação vocal em refrões e adlibs ,Em números muito agudos perde um pouco da potência / performances muito dançantes exigem suporte respiratório extra
4,Idol,i-dleminnie,Minnie,i-dle,A,B,D,B,A,,Vocal / Pop R&B,Excelente timbre e musicalidade / mantém afinação em falsetes e runs nas shows analisadas / boa presença em partes melódicas ,Menor projeção em passagens com muita backing  / instrumental alto / rap é limitado
4,Idol,ichillinyeju,Yeju,ICHILLIN',B,B,D,A,A,,Dance / Visual / Youth Pop,Boa dança / presença de palco,Técnica vocal principal moderada
4,Idol,ichillinjoonie,Joonie,ICHILLIN',C,B,A,C,B,,Lead Rap / Pop Hybrid,Vocais de suporte confiáveis,Dança e rap menos evidentes
4,Idol,ichillinjiyoon,Jiyoon,ICHILLIN',A,B,D,C,B,,Main Vocal / Elegant Pop,Visual de destaque / vocais consistentes,Técnica de dança e rap menos marcada
4,Idol,ichillinjackie,Jackie,ICHILLIN',C,B,S,C,B,,Main Rap / Urban Pop,Rap de destaque / boa coordenação de dança,Técnica vocal principal ainda em desenvolvimento
4,Idol,ichilline.ji,E.Ji,ICHILLIN',B,A,D,A,B,,Leader / Main Dancer / Pop,Excelente performance de dança / vocal sólido,Rap-line ainda menos pronunciada
4,Idol,ichillinchowon,Chowon,ICHILLIN',A,B,D,B,B,,Maknae / Supporting Vocal,Envolvente em performances de grupo,Técnica individual ainda em fase inicial
4,Idol,ichillinchaerin,Chaerin,ICHILLIN',B,B,D,B,B,,Vocal Focus / Emotional Pop,Técnica vocal refinada,Rap e dança menos explorados
5,Idol,ifeyewonhwayeon,Won Hwayeon,ifeye,B,B,D,B,A,,Vocalist / Pop Rookie,Vocal promissor / timbre limpo,Dança e rap menos destacados
5,Idol,ifeyetaerin,Taerin,ifeye,B,A,D,C,B,,Main Dancer / Pop,Dança muito boa / presença coreográfica forte,Técnica vocal principal mediana
5,Idol,ifeyesasha,Sasha,ifeye,A,A,B,A,B,,Visual / Maknae Support,Visual forte / expressividade para câmera,Técnica vocal e rap iniciante
5,Idol,ifeyerahee,Rahee,ifeye,C,B,B,B,C,,All-rounder,Versatilidade e suporte estável,Especialização técnica ainda em crescimento
5,Idol,ifeyemeu,Meu,ifeye,B,B,D,B,B,,Lead Vocal / Performance,Boa dança / presença de palco agradável,Alcance vocal mais limitado
5,Idol,ifeyekasia,Kasia,ifeye,C,A,B,A,C,,Leader / Rap Focus,Rap sólida / boa presença de palco,Técnica vocal principal ainda em evolução
5,Idol,iiitaeri,Taeri,iii,B,B,D,B,C,,Lead Vocal / Dance Focus,Boa dança e performance corporal para rookie,Técnica vocal principal ainda crescente
5,Idol,iiisoobin,Soobin,iii,B,B,D,B,B,,Leader / Main Vocal,Nome revelado líder / estabilidade vocal para uma rookie,Ainda precisa de maior amplitude e técnica refinada
5,Idol,iiinamkhing,Namkhing,iii,D,A,D,B,B,,Maknae / Supporting Line,Presença de grupo e potencial visível,Técnica geral menos desenvolvida
5,Idol,iiihuranformer,Huran (former),iii,B,B,D,B,B,,Rap Focus / Urban Pop,Rap destaque entre rookies,Vocal e dança com margem de crescimento
5,Idol,iiihana,Hana,iii,C,B,D,C,C,,Visual / Supporting Vocal,Visual forte e presença de palco iniciais,Dança e rap com menor evidência técnica
5,Idol,iiieungi,Eungi,iii,D,D,D,C,B,,Performance / Pop Hybrid,Boa dança / suporte vocal estável,Técnica de vocal e rap ainda em fase emergente
5,Idol,illityunah,Yunah,ILLIT,B,B,D,B,B,,Leader / Vocal Hybrid,Boa estabilidade vocal / presença de palco sólida,Ainda não demonstrou amplitude máxima de notas mais altas
5,Idol,illitwonhee,Wonhee,ILLIT,A,B,D,A,A,,Rap / Urban Pop,Rap de destaque / presença forte em versos,Vocais principais não tão marcados
5,Idol,illitmoka,Moka,ILLIT,C,B,D,B,A,,Main Dance / Performance Focus,Dança refinada / performance visível,Técnica vocal principal menos refinada
5,Idol,illitminju,Minju,ILLIT,B,B,D,A,A,,Main Vocal / Visual,Visual forte / vocal confiável,Técnica de rap e dance menos evidentes
5,Idol,illitiroha,Iroha,ILLIT,B,S,D,B,A,,Maknae / Visual Support,Visual agradável / suportes estáveis,Técnica geral ainda em fase de crescimento
4,Idol,itzyyuna,Yuna,ITZY,B,B,D,A,S,,Maknae / Visual Pop,Dança fluida / presença de palco em crescimento,Técnica vocal e rap menos refinadas
